ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,DinnerPrice,LunchPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long
148,Parinijuuikku  ,パリ21区,Kawaramachi,Steak,Beer,￥2000～￥2999,￥1000～￥1999,3.15,3.06,3.3,45,35.00517321,135.7665979
149,ajidokorosamon  ,味どころ 佐門,Sai,Izakaya (Tavern),Okinawan Cuisine,￥3000～￥3999, ～￥999,3.05,3.04,3.03,2,35.00390667,135.7343301
150,Ajidokoroterasaki  ,味処てらさき,Kyoto,Kaiseki (Traditional Japanese),Seafood,￥8000～￥9999,NA,3.52,3.52,NA,8,34.98844361,135.7505714
151,STRADA  ,リストランテ ストラーダ,Kyoto Shiyakusho Mae,Italian,NA,￥6000～￥7999,￥2000～￥2999,3,3.02,3,18,35.01117003,135.7642834
152,Nonkitei  ,呑寄亭,Gion Shijo,Kappo (Traditional Japanese),Creative cuisine,￥8000～￥9999,NA,3.47,3.47,NA,20,35.00561054,135.7757188
153,kyouryourikaji  ,京料理 かじ,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥8000～￥9999,￥5000～￥5999,3.56,3.54,3.51,67,35.01723393,135.7544747
154,nikugaumaikafenikkusutokku  ,肉が旨いカフェ NICK STOCK 京都リサーチパーク店,Tambaguchi,Cafe,Steak,￥2000～￥2999,￥1000～￥1999,3.19,3.09,3.14,41,34.99554177,135.736695
155,momojirouichiba  ,ももじろう市場 京福北野白梅町駅前店,Kitano Hakubaicho,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.05,3.05,NA,3,35.02717192,135.7322658
156,Waraiya  ,笑い屋,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),￥4000～￥4999,NA,3.09,3.1,NA,27,35.00281149,135.7649356
157,Ryouma  ,龍馬 三条烏丸,Karasuma Oike,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.03,3.04,NA,1,35.00856997,135.7608254
158,Nihonryouriukihashi  ,浮橋,Kyoto,Kaiseki (Traditional Japanese),Kyoto Cuisine,￥8000～￥9999,￥3000～￥3999,3.53,3.51,3.54,42,34.98607818,135.7595916
159,Sushiyoshino  ,寿司吉乃 先斗町,Sanjo,Sushi,Kappo (Traditional Japanese),￥6000～￥7999,￥2000～￥2999,3.06,3.06,NA,3,35.00814574,135.7709474
160,Tsuneo  ,ツネオ,Gion Shijo,Kappo (Traditional Japanese),Wine bar,￥10000～￥14999,NA,3.52,3.52,NA,8,35.00028061,135.7786952
161,KYOTO GATTEN  ,酒と肉天ぷら 勝天,Gion Shijo,Tempura,Sushi,￥3000～￥3999,￥1000～￥1999,3.09,3.06,3.18,11,35.0040634,135.7709187
162,Figerasu  ,フィゲラス,Gion Shijo,Spain,Bar,￥5000～￥5999,NA,3.06,3.06,NA,14,35.00471337,135.772886
163,LOTUS  ,スモーク＆グリル ロータス,Shijo,Italian,Izakaya (Tavern),￥4000～￥4999,NA,3.42,3.42,NA,30,35.00426398,135.757374
164,Saredokafe  ,saredoかふぇ,Kyoto,Cafe,Crepes,￥1000～￥1999,￥1000～￥1999,3.11,3,3.12,21,34.98906643,135.7570222
165,Kushinobou  ,串の坊 京都駅店,Kyoto,Kushi-age (Fried Skewer),NA,￥4000～￥4999,￥1000～￥1999,3.06,3.07,3,22,34.98607954,135.757872
166,Kaisendokoroichi  ,海鮮処　一,Karasuma,Izakaya (Tavern),Seafood,￥4000～￥4999,NA,3.08,3.09,NA,5,35.00722545,135.7641216
167,Kyuushuunecchuuya  ,九州 熱中屋 四条大宮 LIVE,Omiya,Izakaya (Tavern),Dumplings,￥3000～￥3999,NA,3.08,3.09,3.04,12,35.00470434,135.7488441
168,Nosutarujia  ,ノスタルジア,Kyoto Shiyakusho Mae,Dining bar,Italian,￥3000～￥3999,NA,3.04,3.04,NA,14,35.01004328,135.7687855
169,sakesakanatanagokoro  ,酒・肴 タナゴコロ,Gojo,Izakaya (Tavern),Japanese food (other),￥4000～￥4999,NA,3.06,3.06,NA,9,34.99779948,135.7625708
170,mo-shondaina-  ,MOTION DINER KYOTO,Kyoto Shiyakusho Mae,Cafe,Burger,￥2000～￥2999,￥1000～￥1999,3.12,3.05,3.12,19,35.00799043,135.7676282
171,Sumibikushiyakitsujiya  ,つじや 四条御幸町店,Kawaramachi,Yakitori (Grilled chicken),Izakaya (Tavern),￥3000～￥3999,NA,3.05,3.05,NA,10,35.00295927,135.7662847
172,Tenshinchashitsu  ,點心茶室 京都店,Kyoto,Shanghai Cuisine,Cantonese Cuisine,￥3000～￥3999,￥1000～￥1999,3.54,3.51,3.52,52,34.985854,135.7574248
173,Haiborubakyoutokarasumaichikyuuniisan  ,ハイボールバー京都烏丸1923,Karasuma,Bar,Bar,￥2000～￥2999,￥2000～￥2999,3.22,3.22,NA,4,35.00460285,135.7587244
174,Oumigyuuyakinikumeitokuya  ,近江牛焼肉 銘特屋,Jujo,Yakiniku (BBQ Beef),NA,￥4000～￥4999,NA,3,3,3.04,2,34.96957352,135.7571817
175,Mukadeya  ,百足屋 本店,Karasuma,Kyoto Cuisine,Japanese food (other),￥6000～￥7999,￥3000～￥3999,3.07,3,3.08,21,35.00565923,135.7564687
176,Hanagokoro  ,花ごころ,Hanazono,Kyoto Cuisine,Shojin Cuisine (Buddhist Cuisine),￥3000～￥3999,￥1000～￥1999,3.08,3.09,3.06,11,35.02110425,135.721943
177,Rakuza  ,楽坐 京都本店,Kyoto,Izakaya (Tavern),Seafood,￥4000～￥4999,NA,3.22,3.22,NA,29,34.98814654,135.7578547
178,Monakadou  ,もなか堂,Kawaramachi,Izakaya (Tavern),Creative cuisine,￥3000～￥3999,NA,3.07,3.08,NA,10,35.00462229,135.7699111
179,kyoutoayanokoujimangetsunohana  ,京都綾小路 満月の花,Karasuma,Sweets,Japanese food (other),￥2000～￥2999, ～￥999,3.26,3.09,3.21,26,35.00256177,135.7636721
180,shunsaibaruiberiko  ,旬彩バル イベリコ,Sanjo,Dining bar,Creative cuisine,￥3000～￥3999,NA,3.05,3.05,NA,4,35.00759578,135.7696395
181,Ikiikiudon  ,いきいきうどん 京都店,Karasuma Oike,Udon,Japanese food (other), ～￥999, ～￥999,3.18,3.09,3.14,47,35.01121047,135.758368
182,zasera-kyouto  ,The Cellar KYOTO,Kyoto Shiyakusho Mae,Dining bar,Kappo (Traditional Japanese),￥6000～￥7999,NA,3.05,3.05,NA,2,35.00936892,135.7694105
183,Daikokuebisu  ,大黒戎,Saiin,Yakiniku (BBQ Beef),Korean cuisine,￥4000～￥4999,NA,3.06,3.06,NA,15,35.00338444,135.7308404
184,kaitoshirowainnobarukakimaru  ,貝と白ワインのバル KAKIMARU 七条店,Kyoto,Bar,Italian,￥3000～￥3999,NA,3,3,NA,8,34.98938581,135.755149
185,chisouyouga  ,馳走 陽雅,Gojo,Kaiseki (Traditional Japanese),Kyoto Cuisine,￥10000～￥14999,￥6000～￥7999,3.63,3.61,3.51,8,34.99403705,135.759206
186,Kushiyamonogatari  ,串家物語 京都ヨドバシ店,Kyoto,Kushi-age (Fried Skewer),Izakaya (Tavern),￥2000～￥2999,￥1000～￥1999,3,3,3.01,14,34.98813074,135.7593007
187,nihonshubarujinsuke  ,日本酒バル JINSUKE,Karasuma,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.05,3.05,NA,8,35.00261177,135.7637935
188,Hanatanuki  ,花たぬき 御池店,Nishioji Oike,Izakaya (Tavern),Okonomiyaki,￥3000～￥3999,NA,3.01,3.01,NA,11,35.01119252,135.7321621
189,izakayaba-shiba  ,居酒屋BAR SIBA,Gion Shijo,Izakaya (Tavern),Japanese food (other),￥3000～￥3999,NA,3.03,3.03,NA,2,35.00484974,135.7726319
190,Satsumagokamon  ,薩摩ごかもん 京都四条烏丸本店,Karasuma,Izakaya (Tavern),Sukiyaki,￥3000～￥3999, ～￥999,3.07,3.09,3,27,35.00407238,135.7601146
191,Kyoutoyamanashiyakitorikanazawa  ,京都山科 焼鳥 かなざわ,Keihan Yamashina,Izakaya (Tavern),Yakitori (Grilled chicken),￥3000～￥3999,NA,3.06,3.06,NA,36,34.99133142,135.818192
192,Himiko  ,卑弥呼 舞鶴,Higashi Maizuru,Izakaya (Tavern),Seafood,￥4000～￥4999,￥1000～￥1999,3.12,3.08,3.21,29,35.47565945,135.3949543
193,koshitsuichiammasamunebettei  ,個室 一庵正宗 別邸 京都木屋町店 ,Gion Shijo,Izakaya (Tavern),Dining bar,￥2000～￥2999,￥2000～￥2999,3.06,3.06,NA,2,35.00480526,135.770749
194,CHULETA  ,チュレタ,Gion Shijo,Spain,Bar,￥5000～￥5999,￥1000～￥1999,3.58,3.58,3.06,24,35.00413204,135.7727738
195,GRILL&PUB The NICK STOCK  ,GRILL&PUB The NICK STOCK 三条河原町店,Sanjo,Steak,Bar,￥2000～￥2999,￥1000～￥1999,3,3.06,3,19,35.00873289,135.7699163
196,Choushuuryourikyoumon  ,町衆料理 京もん,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥5000～￥5999,￥2000～￥2999,3.07,3.08,NA,34,35.00929562,135.7705921
197,Brochette  ,ブロシェット,Karasuma Oike,Western (Others),French,￥3000～￥3999,￥1000～￥1999,3.55,3.54,3.51,44,35.01039006,135.7611512
198,Ilifune  ,ilifune,Jingu Marutamachi,Dining bar,Italian,￥3000～￥3999,NA,3.06,3.06,NA,1,35.01678867,135.7686541
199,Satsuki  ,さつき,Kyoto Shiyakusho Mae,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥10000～￥14999,NA,3.51,3.51,NA,5,35.01189478,135.770775
200,Kaitoshirowainnobarukakimaru  ,貝と白ワインのバル KAKIMARU 西院店,Saiin,Bar,Izakaya (Tavern),￥3000～￥3999,NA,3.04,3.04,NA,3,35.00238373,135.7314704
201,Sandaimetorimero  ,三代目 鳥メロ 四条烏丸店,Shijo,Izakaya (Tavern),Yakitori (Grilled chicken),￥2000～￥2999,NA,3,3,NA,2,35.0039504,135.7574829
202,Furenchibado  ,フレンチバード,Kyoto Shiyakusho Mae,French,Bistro,￥4000～￥4999,￥1000～￥1999,3.06,3.06,NA,11,35.01369227,135.7653087
203,BISTRO BAR A VIN  C  ,ビストロ セー,Shijo,Bistro,Seafood,￥2000～￥2999,￥3000～￥3999,3.51,3.51,3.1,49,35.00139624,135.7581785
204,Figerasu  ,フィゲラス 烏丸店,Karasuma,Spain,Bar,￥3000～￥3999,NA,3.04,3,3.06,11,35.00620938,135.7604378
205,Sorekaraayanokouji  ,それから 綾小路,Shijo,Izakaya (Tavern),Japanese food (other),￥4000～￥4999,NA,3,3,NA,10,35.00244591,135.7613851
206,nikugaumaikafenikkusutokku  ,肉が旨いカフェ NICK STOCK イオンモールKYOTO店,Toji,Cafe,Steak,￥1000～￥1999,￥1000～￥1999,3.19,3.11,3.09,17,34.98310398,135.7550146
207,Teppankushiyakisakura  ,鉄板串焼き 咲蔵,Chushojima,Izakaya (Tavern),Teppanyaki,￥3000～￥3999, ～￥999,3.05,3.04,3.05,7,34.93041692,135.7598977
208,TORIBUN  ,炭焼家 酉文,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),￥3000～￥3999,￥1000～￥1999,3.02,3.02,3.02,10,35.00400394,135.7695802
209,Supuringubareburuwarikyouto  ,スプリングバレーブルワリー 京都,Kawaramachi,Dining bar,Cafe,￥3000～￥3999,￥1000～￥1999,3.53,3.52,3.43,36,35.00541454,135.7648569
210,Bistro SUMIRE Chinese   ,Bistro SUMIRE Chinese ,Gion Shijo,Chinese,Dim sum,￥8000～￥9999,NA,3.35,3.35,NA,13,35.00186918,135.7702564
211,Bisutoroemuiaru  ,ビストロMER,Gion Shijo,Bistro,Italian,￥4000～￥4999,NA,3.48,3.48,NA,20,35.00586157,135.7726249
212,Daitouryou  ,大當両,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥6000～￥7999,￥4000～￥4999,3.08,3.05,3.13,16,35.00468501,135.7711664
213,Nagomijun  ,和 旬゛,Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥6000～￥7999,￥3000～￥3999,3.15,3.15,3.05,16,35.00489414,135.7548028
214,Hiroya  ,ひろや,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,￥15000～￥19999,￥15000～￥19999,3.59,3.59,3.57,51,35.12242459,135.7634156
215,Kenedhikurabu  ,ケネディクラブ,Sanjo,Bar,Italian,￥3000～￥3999,NA,3.04,3.04,NA,2,35.01012275,135.7707029
216,zensekikoshitsuizakayataketorinoneiro  ,全席個室居酒屋 竹取の音色 京都駅前店,Kyoto,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3,3,NA,10,34.98736196,135.7607689
217,Miho  ,味峯 四条壬生店,Shijo Omiya,Izakaya (Tavern),Okinawan Cuisine,￥3000～￥3999,NA,3.12,3.12,NA,20,35.00341411,135.7435729
218,Chabana  ,ちゃばな  七条新町店,Kyoto,Okonomiyaki,Izakaya (Tavern),￥2000～￥2999,NA,3.01,3.01,NA,8,34.98935391,135.7574413
219,Akayashiro  ,あかやしろ,Tambaguchi,Horumon (BBQ Offel),Yakiniku (BBQ Beef),￥4000～￥4999,NA,3.52,3.52,3.03,37,34.99369085,135.7361948
220,Sousakukoshitsuizakayasugiurakyoutoekimaeshichijouten  ,創作個室居酒屋すぎうら 京都駅前七条店,Shichijo,Izakaya (Tavern),Seafood,￥4000～￥4999,NA,3.18,3.18,NA,2,34.98945148,135.7620021
221,Sakanayariichi  ,酒肴菜や 利一,Keihan Yamashina,Izakaya (Tavern),Seafood,￥4000～￥4999,NA,3.05,3.05,NA,10,34.99107112,135.8153492
222,yasaidainingukusushi  ,野菜ダイニング 薬師,Sanjo,Vegetable dishes,Izakaya (other),￥3000～￥3999,NA,3.05,3.06,NA,5,35.00844624,135.769312
223,nikuyanodaidokoro  ,肉屋の台所 京都木屋町ミート,Sanjo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),￥3000～￥3999,￥1000～￥1999,3,3,3.03,6,35.00828295,135.7706041
224,Miyagawachousaka  ,宮川町 さか,Gion Shijo,Italian,French,￥20000～￥29999,￥10000～￥14999,3.09,3.09,NA,11,34.99912393,135.7709428
225,Kashiwa  ,かしわ 祇園豆六小路,Gion Shijo,Yakitori (Grilled chicken),Fowl,￥3000～￥3999,NA,3.06,3.06,NA,11,35.00526306,135.7747064
226,Iorisantouka  ,庵 山頭火,Emmachi,Izakaya (Tavern),Kyoto Cuisine,￥3000～￥3999,NA,3.05,3.05,NA,5,35.01739681,135.7296451
227,Kyuushuunecchuuya  ,九州 熱中屋 桂 LIVE,Katsura,Izakaya (Tavern),Dumplings,￥3000～￥3999,NA,3.03,3.03,NA,3,34.97964124,135.7042673
228,kyoutokushidokoroazumaya  ,京都串処東屋,Sanjo,Yakitori (Grilled chicken),Izakaya (Tavern),￥1000～￥1999,NA,3,3,NA,1,35.00720695,135.7706325
229,Chizutakkarubitonichinandorisachi  ,チーズタッカルビと日南どり 幸,Saiin,Izakaya (Tavern),Bar,￥3000～￥3999,NA,3.04,3.04,NA,3,35.00301033,135.7314795
230,Shunsaifujii  ,旬菜 ふじ井,Kitaoji,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),￥8000～￥9999,￥5000～￥5999,3.35,3.35,NA,6,35.04331715,135.7612854
231,Hitotose  ,ひととせ,Kyoto,Japanese food (other),Izakaya (Tavern),￥3000～￥3999,NA,3,3,NA,3,34.98940618,135.7607322
232,Bairan  ,梅蘭 イオンモール京都桂川店,Katsuragawa,Chinese,Dim sum,￥1000～￥1999, ～￥999,3.12,3.1,3.07,29,34.96386603,135.7069295
233,Setsugekka  ,雪月花,Kyoto Shiyakusho Mae,Bar,Lounge,￥2000～￥2999,NA,3.13,3.13,3.06,35,35.00883723,135.7648326
234,yakinikutobi-ruichibakouji  ,焼肉とビール 市場小路 四条烏丸店,Karasuma,Yakiniku (BBQ Beef),Horumon (BBQ Offel),￥4000～￥4999,￥1000～￥1999,3.06,3.05,3.06,4,35.00410265,135.760134
235,Sandaimetorimero  ,三代目 鳥メロ 四条大宮店,Shijo Omiya,Izakaya (Tavern),Yakitori (Grilled chicken),￥2000～￥2999,NA,3.04,3.04,3.04,5,35.00390081,135.7484328
236,zensekikoshitsuizakayatsukinokakehashi  ,全席個室居酒屋 月のかけはし 京都駅前店,Kyoto,Izakaya (Tavern),Regional Cuisine (Other),￥3000～￥3999,NA,3,3,NA,6,34.98741639,135.7607511
237,tounyuutonshabutoratarou  ,豆乳とんしゃぶ 寅太郎,Shijo,Kaiseki (Traditional Japanese),Shabu Shabu (Japanese Steamboat),￥5000～￥5999,￥3000～￥3999,3,3,3.06,31,35.00148544,135.7604427
238,Dainingunagomi  ,Dining Nagomi 山科店,Keihan Yamashina,Izakaya (Tavern),Japanese food (other),￥2000～￥2999,NA,3,3,NA,8,34.9896418,135.8134167
239,Mossannobetayaki  ,モッさんのべた焼,Sai,Okonomiyaki,Horumon (BBQ Offel),￥2000～￥2999, ～￥999,3.51,3.51,3.06,19,35.00305796,135.7395511
240,gionnotonjiruyasanadachiya  ,ぎおんの豚汁屋さん あだち家,Gion Shijo,Regional Cuisine (Other),Nihonshu (Japanese sake),￥3000～￥3999,NA,3.15,3.15,NA,11,35.00465785,135.7745367
241,Gottie'sBEEF  ,ゴッチーズビーフ 四条木屋町,Gion Shijo,Steak,Yakiniku (BBQ Beef),￥4000～￥4999,￥1000～￥1999,3.09,3.09,3.07,50,35.00421394,135.7706595
242,pasutakorekushonandoba-dougetsuneo  ,Pasta Collection &  Bar 道月neo,Shijo,Izakaya (Tavern),Pasta,￥4000～￥4999,￥1000～￥1999,3.43,3.09,3.52,9,35.0023748,135.7609818
243,Shougetsu  ,将月 河原町店,Kawaramachi,Okonomiyaki,Teppanyaki,￥2000～￥2999, ～￥999,3.08,3.09,3.07,22,35.00676697,135.7689501
244,Kampaiboupuruda  ,韓杯房 PURUDA. 三条木屋町店,Sanjo,Korean cuisine,Yakiniku (BBQ Beef),￥3000～￥3999,NA,3,3,NA,4,35.01028385,135.7707329
245,teppandainingugionshou  ,鉄板Dining祇園 翔 四条烏丸店,Karasuma,Izakaya (Tavern),Italian,￥2000～￥2999,NA,3.03,3.03,3,2,35.00475477,135.7581783
246,Sajiki  ,桟敷,Karasuma,Izakaya (Tavern),Japanese food (other),￥4000～￥4999,NA,3,3,NA,21,35.00625164,135.7627323
247,gansochiriteppanyakimotsunabeakachiriya  ,元祖 ちり鉄板焼×もつ鍋 赤ちり屋 京都駅八条口店,Kyoto,Motsu Nabe (Offel Hot Pot),Izakaya (Tavern),￥3000～￥3999,NA,3.02,3.03,3,12,34.98304879,135.7600159
248,Nikumon  ,肉もん,Omiya,Yakiniku (BBQ Beef),Izakaya (Tavern),￥3000～￥3999,NA,3,3,NA,11,35.00432743,135.7485169
249,pontochouyakinikuyaruki  ,先斗町焼肉　やる気,Sanjo,Yakiniku (BBQ Beef),Bar,￥3000～￥3999,NA,3.06,3.06,NA,4,35.00758636,135.7709527
250,BAR-CERVECERIA xativa  ,シャティバ,Kyoto Shiyakusho Mae,Spain,Bar,￥3000～￥3999,NA,3.45,3.45,NA,12,35.01307482,135.7701747
251,Ginnan  ,ぎんなん,Kyoto,Izakaya (Tavern),Tofu,￥4000～￥4999,NA,3.05,3.05,NA,11,34.98938754,135.7588273
252,Kyuushuunecchuuya  ,九州 熱中屋 伏見桃山 LIVE,Fushimi Momoyama,Izakaya (Tavern),Dumplings,￥3000～￥3999,NA,3,3,NA,6,34.93326503,135.7645928
253,konken  ,コンケン,Kawaramachi,Thailand cooking,Izakaya (Tavern),￥1000～￥1999, ～￥999,3.12,3.09,3.08,7,35.00479548,135.7672726
254,Yakinikuhorumonanju  ,焼肉･ホルモン あんじゅ,Karasuma,Yakiniku (BBQ Beef),Korean cuisine,￥3000～￥3999,NA,3,3,NA,5,35.00506675,135.761928
255,Yamabanaheihachidiya  ,山ばな平八茶屋,Shugakuin,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥10000～￥14999,￥4000～￥4999,3.56,3.54,3.48,29,35.05406522,135.7910692
256,Idutsuya  ,いづつ家 三条店,Karasuma Oike,Yakiniku (BBQ Beef),Horumon (BBQ Offel),￥5000～￥5999,NA,3.28,3.28,3,9,35.00947992,135.7635407
257,Kyouyoushokumatsumoto  ,京洋食　まつもと,Karasuma,Western Cuisine,French,￥4000～￥4999,￥1000～￥1999,3.33,3.12,3.43,20,35.00622096,135.7555927
258,Ashuckurk  ,アシュクルク,Demachiyanagi,Bistro,Bar,￥3000～￥3999,NA,3,3,NA,7,35.0282667,135.7741001
259,ITALIAN BAR MODERNTIMES  ,イタリアンバール モダンタイムス,Marutamachi,Italian,Pizza,￥2000～￥2999, ～￥999,3.29,3.16,3.27,15,35.01342966,135.7571686
260,Aiyoxtsu  ,あいよっ！,Karasuma Oike,Kushi-age (Fried Skewer),Izakaya (Tavern),￥1000～￥1999, ～￥999,3.05,3.05,3.04,5,35.00839081,135.7604566
261,Chanchi  ,チャンチ 京都店 ,Kyoto,Korean cuisine,Izakaya (Tavern),￥2000～￥2999, ～￥999,3.46,3.05,3.46,34,34.98820184,135.7590032
262,SHUKURA  ,酒蔵,Sanjo,Bar,Nihonshu (Japanese sake),￥3000～￥3999,NA,3.06,3.06,NA,5,35.00831323,135.7709863
263,mikusoroji-ba-sumu-su  ,mixologybar smooth,Gion Shijo,Bar,Dining bar,￥2000～￥2999,NA,3.05,3.05,NA,3,35.00487859,135.7706387
264,Kinugawa  ,きぬがわ,Gojo,Kappo (Traditional Japanese),Shabu Shabu (Japanese Steamboat),￥6000～￥7999,￥2000～￥2999,3.42,3.42,NA,8,34.99655509,135.758194
265,Momojirou  ,ももじろう 今出川百万遍店,Demachiyanagi,Izakaya (Tavern),Seafood,￥2000～￥2999,NA,3.01,3.01,NA,6,35.02863145,135.7780225
266,daikouen  ,大香園,Tambaguchi,Yakiniku (BBQ Beef),Korean cuisine,￥4000～￥4999,NA,3.21,3.21,NA,16,34.99871515,135.7425885
267,Gounotora  ,五黄の寅,Shijo,Izakaya (Tavern),Nihonshu (Japanese sake),￥3000～￥3999,NA,3.16,3.16,NA,9,35.00255082,135.7569447
268,Bejotamuamua  ,ベジョータ ムアムア 烏丸三条店,Karasuma Oike,Bar,Western (Others),￥3000～￥3999,NA,3.1,3.1,NA,16,35.00851747,135.760478
269,Ichibakouji  ,市場小路 寺町本店,Kawaramachi,Izakaya (Tavern),Steak,￥3000～￥3999,￥1000～￥1999,3.51,3.5,3.5,69,35.00525792,135.7666593
270,shioriyaichie  ,栞屋一會,Kyoto Shiyakusho Mae,Izakaya (Tavern),Nihonshu (Japanese sake),￥4000～￥4999,NA,3.07,3.07,3.07,19,35.01124069,135.7706653
271,Kitayama  ,きた山 本店,Gion Shijo,Hot Pot (other),Kyoto Cuisine,￥5000～￥5999,￥2000～￥2999,3.02,3.02,NA,5,35.00297557,135.7707829
272,Tempurashinjukutsunahachi  ,天ぷら新宿つな八 京都店,Kawaramachi,Tempura,Kaiseki (Traditional Japanese),￥4000～￥4999,￥1000～￥1999,3.02,3.02,3.02,17,35.00320622,135.7681326
273,yakinikuajidouraku  ,焼肉味道楽,Higashi Maizuru,Yakiniku (BBQ Beef),Seafood,￥3000～￥3999,NA,3.06,3.06,NA,2,35.46972481,135.3952918
274,IL TOBANCHI  ,イル トバンキ,Karasuma Oike,Bar,Italian,￥3000～￥3999,NA,3.18,3.16,3.08,15,35.00819267,135.7544804
275,Shikinoajisugiura  ,四季の味すぎうら 蛸薬師店,Karasuma,Izakaya (Tavern),Seafood,￥4000～￥4999,NA,3.15,3.14,3.07,17,35.00633325,135.7604409
276,Kyoutoyakitoriseisakujo  ,京都焼鳥製作所,Kawaramachi,Yakitori (Grilled chicken),Fowl,￥3000～￥3999,NA,3.29,3.29,NA,17,35.00255483,135.7661487
277,arashiyamakushibun  ,嵐山 串文,Shijo,Kushi-age (Fried Skewer),Izakaya (Tavern),￥3000～￥3999,NA,3.21,3.21,3.02,14,35.0035746,135.7570132
278,Toriasa  ,鳥あさ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),￥3000～￥3999, ～￥999,3.09,3.08,3.13,23,35.00407349,135.7601152
279,zensekikoshitsuizakayawazakurahitohira  ,全席個室居酒屋 和桜ひとひら 京都駅前店,Kyoto,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.02,3.02,NA,11,34.98995056,135.760263
280,saredowa  ,310 saredowa,Kyoto,Izakaya (Tavern),Creative cuisine,￥3000～￥3999,NA,3.38,3.38,NA,11,34.98856423,135.7550916
281,gyokouchokusoukaisensakabaanji  ,漁港直送 海鮮酒場 あんじ 麩屋町綾小路店,Kawaramachi,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.53,3.53,3,83,35.00257736,135.7656528
282,Rejon  ,レジョン,Kawaramachi,French,Bistro,￥4000～￥4999,￥1000～￥1999,3.4,3.33,3.15,5,35.00434104,135.7646961
283,Maruichi  ,まるいち,Sanjo,Yakiniku (BBQ Beef),Korean cuisine,￥4000～￥4999,NA,3.02,3.02,NA,13,35.00766412,135.7702466
284,Osakenobijutsukan  ,お酒の美術館 河原町三条店,Kyoto Shiyakusho Mae,Bar,Dining bar,￥1000～￥1999,￥1000～￥1999,3.06,3.06,3.04,6,35.00851345,135.7692111
285,wainandooyasaibarubejibaru  ,ワイン＆お野菜バル ベジバル,Shijo,Italian,Wine bar,￥4000～￥4999,￥2000～￥2999,3.51,3.51,3.24,33,35.00276905,135.7567664
286,kaitoshirowainnobarukakimaru  ,貝と白ワインのバル KAKIMARU 綾小路店,Kawaramachi,Bar,Izakaya (Tavern),￥3000～￥3999,NA,3.31,3.31,NA,10,35.00251013,135.7647382
287,Yudoufutakemura  ,湯どうふ 竹むら,Arashiyama,Tofu,Yuba,￥3000～￥3999,￥3000～￥3999,3.5,3.18,3.52,47,35.01748616,135.6768201
288,ajiromanishigamatei  ,味浪漫いしがま亭,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,￥4000～￥4999,￥1000～￥1999,3.12,3.07,3.21,27,35.00212499,135.7703708
289,Giombansankyoushoku  ,祇園 晩餐 京色,Gion Shijo,Izakaya (Tavern),Tempura,￥5000～￥5999,NA,3,3,NA,5,35.00474394,135.7737945
290,Kyouhorumonhana  ,京ホルモン花,Kujo,Izakaya (Tavern),Horumon (BBQ Offel),￥2000～￥2999,NA,3.06,3.06,NA,10,34.9816928,135.7583544
291,Bar PLAYGROUND  ,バル　プレイグラウンド,Imadegawa,Bar,Wine bar,￥3000～￥3999,￥1000～￥1999,3.06,3.06,3.05,2,35.02956428,135.7547553
292,Kyameron  ,キャメロン,Kawaramachi,Steak,French,￥6000～￥7999,￥2000～￥2999,3.07,3,3.08,50,35.00071701,135.7663473
293,Sumibikazuya  ,炭火 かず家,Kawaramachi,Izakaya (Tavern),Seafood,￥3000～￥3999,NA,3.51,3.51,3.06,21,35.0050144,135.7702609
294,Kandumebaruamichi  ,缶詰BAL Amici,Karasuma,Bar,Izakaya (Tavern),￥3000～￥3999, ～￥999,3.05,3.06,NA,2,35.00635538,135.7549885
295,Ikkakujuu  ,いっかくじゅう 烏丸店,Shijo,Izakaya (Tavern),Teppanyaki,￥3000～￥3999,NA,3.29,3.29,3,17,35.00248202,135.7615023
296,Jounetsushokusaikyoushoku  ,情熱食彩 京色,Kawaramachi,Seafood,Kyoto Cuisine,￥4000～￥4999,NA,3.08,3.08,3.08,31,35.00334798,135.7669793
297,Yakinikumarutomi  ,焼肉まる富 四条河原町店,Kawaramachi,Yakiniku (BBQ Beef),Izakaya (Tavern),￥4000～￥4999,￥1000～￥1999,3.06,3.06,NA,3,35.0035826,135.769831
